2960888,Woodlawn,Woodlawn,"Woodlawn,Woodlawn House",53.32889,-8.47889,S,EST,IE,IE,C,10,"","",0,"",90,Europe/Dublin,2012-01-18
2960889,Woodlands Station,Woodlands Station,"Woodlands,Woodlands Station",51.55,-9.51667,S,RSTN,IE,IE,M,04,"","",0,"",81,Europe/Dublin,2012-01-18
2960890,Woodhouse,Woodhouse,"",52.12389,-7.475,S,EST,IE,"",M,44,"","",0,"",14,Europe/Dublin,2017-07-25
2960891,Wood Hill,Wood Hill,"",54.75944,-8.41833,S,EST,IE,"",U,06,"","",0,"",9,Europe/Dublin,2010-08-14
2960892,Woodfort,Woodfort,"Woodfoot,Woodfort",53.88333,-6.83333,P,PPL,IE,"",L,21,"","",0,"",112,Europe/Dublin,2012-01-18
2960893,Woodfort,Woodfort,"",52.15944,-8.34139,S,EST,IE,"",M,04,"","",0,"",53,Europe/Dublin,2010-08-14
2960894,Woodford River,Woodford River,"Rosmore,Woodford River",53.02028,-8.31639,H,STM,IE,IE,C,10,"","",0,"",32,Europe/Dublin,2012-01-18
2960895,Woodford,Woodford,"An Chraig,An Chráig,An Ghraig,An Ghráig,Woodford",53.04833,-8.40028,P,PPL,IE,"",C,10,"","",282,"",79,Europe/Dublin,2013-11-26
2960896,Woodford,Woodford,"",52.05,-9.45,P,PPL,IE,"",M,11,"","",0,"",84,Europe/Dublin,1993-12-27
2960897,Woodfield House,Woodfield House,"",53.86667,-8.88333,S,EST,IE,"",C,20,"","",0,"",71,Europe/Dublin,1993-12-27
2960898,Woodfield House,Woodfield House,"",53.37028,-7.62167,S,EST,IE,"",L,23,"","",0,"",58,Europe/Dublin,2010-08-14
2960899,Woodfield House,Woodfield House,"",53.11667,-7.9,S,EST,IE,"",L,23,"","",0,"",79,Europe/Dublin,2010-08-14
2960900,Woodenbridge Junction Station,Woodenbridge Junction Station,"Woodenbridge,Woodenbridge Junction,Woodenbridge Junction Station",52.83333,-6.23333,S,RSTN,IE,IE,L,31,"","",0,"",52,Europe/Dublin,2012-01-18
2960901,Woodenbridge,Woodenbridge,Woodenbridge,52.83222,-6.23639,P,PPL,IE,"",L,31,"","",0,"",43,Europe/Dublin,2012-02-02
2960902,Woodbrook House,Woodbrook House,"Woodbrook,Woodbrook House",53.12944,-7.23583,S,HSEC,IE,IE,L,15,"","",0,"",74,Europe/Dublin,2012-01-18
2960903,Woodbrook,Woodbrook,"",52.54806,-6.73861,S,EST,IE,"",L,30,"","",0,"",110,Europe/Dublin,2010-08-14
2960904,Woodbrook,Woodbrook,"",51.71667,-9.13333,S,EST,IE,"",M,04,"","",0,"",69,Europe/Dublin,1993-12-27
2960905,Woodbine Hill,Woodbine Hill,"",51.95472,-7.82944,S,EST,IE,"",M,04,"","",0,"",14,Europe/Dublin,2010-08-14
2960906,Wingfield House,Wingfield House,"",52.7725,-6.39194,S,EST,IE,"",L,30,"","",0,"",128,Europe/Dublin,2010-08-14
2960907,Windy Harbour,Windy Harbour,"",53.73973,-6.65756,P,PPL,IE,"",L,21,"","",0,"",112,Europe/Dublin,2014-12-03
2960908,Windy Gap,Windy Gap,"",52.03333,-9.93333,T,GAP,IE,"",M,11,"","",0,"",296,Europe/Dublin,2010-08-14
2960909,Windgap,Windgap,"Bearna na Gaoithe,Bearra na Gaoithe,Windgap",52.46556,-7.39972,P,PPL,IE,"",L,13,"","",0,"",150,Europe/Dublin,2012-01-18
2960910,Windfield House,Windfield House,"",53.43333,-8.63333,S,EST,IE,"",C,10,"","",0,"",71,Europe/Dublin,1993-12-27
2960911,Wilton House,Wilton House,"Wilton,Wilton House",52.72222,-7.54806,S,EST,IE,IE,L,13,"","",0,"",134,Europe/Dublin,2012-01-18
2960912,Wilton Castle,Wilton Castle,"Wilton Castle,Wilton House",52.45917,-6.61639,S,EST,IE,IE,L,30,"","",0,"",25,Europe/Dublin,2012-01-18
2960913,Wilmount House,Wilmount House,"",52.58333,-6.71667,S,EST,IE,"",L,30,"","",0,"",139,Europe/Dublin,2010-08-14
2960914,Wilmount House,Wilmount House,"",52.41667,-6.45611,S,EST,IE,"",L,30,"","",0,"",57,Europe/Dublin,2010-08-14
2960915,Wilmount,Wilmount,"",53.74833,-6.89528,S,EST,IE,"",L,21,"","",0,"",73,Europe/Dublin,2010-08-14
2960916,Wills Grove,Wills Grove,"",53.73333,-8.41667,S,RUIN,IE,"",C,24,"","",0,"",91,Europe/Dublin,1993-12-27
2960917,Willsbrook House,Willsbrook House,"",53.73333,-8.48333,S,BLDG,IE,"",C,24,"","",0,"",62,Europe/Dublin,1993-12-27
2960918,Willmount House,Willmount House,"",53.11611,-6.55833,S,HSEC,IE,"",L,31,"","",0,"",219,Europe/Dublin,2010-08-14
2960919,Willmount,Willmount,"",53.26667,-8.76667,S,EST,IE,"",C,10,"","",0,"",20,Europe/Dublin,1993-12-27
2960920,Willmount,Willmount,"",52.55472,-7.56556,S,EST,IE,"",M,26,"","",0,"",133,Europe/Dublin,2010-08-14
2960921,Williamstown Lodge,Williamstown Lodge,"",52.95,-8.33333,S,BLDG,IE,"",M,03,"","",0,"",58,Europe/Dublin,2010-08-14
2960922,Williamstown House,Williamstown House,"",53.88333,-6.41417,S,EST,IE,"",L,19,"","",0,"",19,Europe/Dublin,2010-08-14
2960923,Williamstown Harbour,Williamstown Harbour,"",52.95,-8.33333,H,HBR,IE,"",M,03,"","",0,"",58,Europe/Dublin,2010-08-14
2960924,Williamstown,Williamstown,"",53.67651,-8.57913,P,PPL,IE,"",C,10,"","",0,"",88,Europe/Dublin,2017-08-05
2960925,Williamstown,Williamstown,"",53.75222,-6.87333,S,EST,IE,"",L,21,"","",0,"",64,Europe/Dublin,2010-08-14
2960926,Willbrook,Willbrook,"",53.29361,-6.31194,P,PPL,IE,"",L,39,"","",0,"",60,Europe/Dublin,2017-07-25
2960927,Willbrook,Willbrook,"",52.93778,-9.12806,P,PPL,IE,"",M,03,"","",0,"",90,Europe/Dublin,2010-08-14
2960928,Wilkinstown,Wilkinstown,"Baile Uilcin,Baile Uilcín,Wilkinstown",53.73556,-6.71306,P,PPL,IE,"",L,21,"","",0,"",68,Europe/Dublin,2014-12-03
2960929,Wilford House,Wilford House,"",52.55722,-7.55889,S,EST,IE,"",M,26,"","",0,"",107,Europe/Dublin,2010-08-14
2960930,Wild Bellows Rock,Wild Bellows Rock,"",53.34417,-10.05056,T,RK,IE,"",C,10,"","",0,"",-9999,Europe/Dublin,1999-03-04
2960931,Wicklow Mountains,Wicklow Mountains,"Montagnes de Wicklow,Montes Wicklow,Monti Wicklow,Montoj Wicklow,Muntanyes Wicklow,Mynyddoedd Wicklow,Sleibhte Chill Mhantain,Sléibhte Chill Mhantáin,Uiklou,Viklou kalnai,Wicklow,Wicklow Hills,Wicklow Mountains,Wicklow mendiak,Wicklowbergen,Wicklowfjella,Wicklowfjellene,u~ikkuro shan de,wei ke luo shan mai,Уиклоу,უიკლოუს მთები,ウィックロー山地,威克洛山脈",53.08333,-6.33333,T,MTS,IE,"",L,31,"","",0,"",307,Europe/Dublin,2012-01-18
2960932,Wicklow Head,Wicklow Head,Wicklow Head,52.96056,-5.99889,T,CAPE,IE,"",L,31,"","",0,"",6,Europe/Dublin,2012-02-02
